lag_count,sample_size,H,zeta,delta,radius,identifiability_score,lower,upper,empirical_hit_rate,gaussian_hit_rate
8,10,0.3,1.0,0.005,0.2558914659168278,0.18727058886176437,463.63763880582763,776.909818790891,0.151,0.14855151828884816
8,10,0.3,1.0,0.01,0.3604668308553724,0.26380260645878917,417.6016264586188,866.3811657324479,0.215,0.20806797396232657
8,10,0.3,1.0,0.02,0.5068540061458144,0.3709340124251052,360.7339680464511,1011.8390504699054,0.285,0.28931331878097
8,10,0.3,1.0,0.05,0.7918105639674713,0.5794754821145552,271.28887111165767,1381.0789327150392,0.447,0.4377316145878656
8,10,0.3,2.0,0.005,0.2558914659168278,0.41865452069907083,194.93561422425847,326.6503407983366,0.337,0.32453136209609834
8,10,0.3,2.0,0.01,0.3604668308553724,0.5897463901696489,175.57985534658664,364.26840825387484,0.45,0.44463931104841947
8,10,0.3,2.0,0.02,0.5068540061458144,0.8292450091960079,151.66995029525432,425.4259151769328,0.606,0.5930342191425457
8,10,0.3,2.0,0.05,0.7918105639674713,1.2954518469561163,114.06291960800993,580.6721618512512,0.828,0.8048355976216999
8,10,0.3,4.0,0.005,0.2558914659168278,0.949009221355785,81.96032960322998,137.3395503093627,0.657,0.6573840778907036
8,10,0.3,4.0,0.01,0.3604668308553724,1.336841559951954,73.82223547585522,153.15599934543,0.818,0.8187256399680074
8,10,0.3,4.0,0.02,0.5068540061458144,1.8797388337672876,63.76935875249422,178.86956351415682,0.939,0.9398563197415957
8,10,0.3,4.0,0.05,0.7918105639674713,2.936540005661202,47.9575501058741,244.14256966917094,0.995,0.9966810399199189
8,20,0.3,0.5,0.005,0.2558914659168278,0.1197919531506284,1102.7223577019038,1847.8133684432044,0.097,0.09535204350476723
8,20,0.3,0.5,0.01,0.3604668308553724,0.16874742406695717,993.229650842596,2060.6132931867573,0.132,0.13400468537224985
8,20,0.3,0.5,0.02,0.5068540061458144,0.23727649978824433,857.9748028480076,2406.5723961128174,0.185,0.18755770795912818
8,20,0.3,0.5,0.05,0.7918105639674713,0.37067486265366045,645.2373114940788,3284.7777863301776,0.304,0.2891202846838752
8,20,0.3,1.0,0.005,0.2558914659168278,0.26484060660190306,463.63763880582763,776.909818790891,0.201,0.20886774609373848
8,20,0.3,1.0,0.01,0.3604668308553724,0.373073223843392,417.6016264586188,866.3811657324479,0.298,0.2909060533633743
8,20,0.3,1.0,0.02,0.5068540061458144,0.524579911117054,360.7339680464511,1011.8390504699054,0.426,0.40012474513506513
8,20,0.3,1.0,0.05,0.7918105639674713,0.819502085869092,271.28887111165767,1381.0789327150392,0.629,0.5874999876248497
8,20,0.3,2.0,0.005,0.2558914659168278,0.5920669011214337,194.93561422425847,326.6503407983366,0.462,0.44619421001252
8,20,0.3,2.0,0.01,0.3604668308553724,0.8340273433384925,175.57985534658664,364.26840825387484,0.617,0.5957344242349898
8,20,0.3,2.0,0.02,0.5068540061458144,1.1727295385351966,151.66995029525432,425.4259151769328,0.77,0.7590957179328539
8,20,0.3,2.0,0.05,0.7918105639674713,1.8320455713666148,114.06291960800993,580.6721618512512,0.936,0.9330553685989431
8,20,0.3,4.0,0.005,0.2558914659168278,1.342101711658482,81.96032960322998,137.3395503093627,0.822,0.8204369810117524
8,20,0.3,4.0,0.01,0.3604668308553724,1.8905794648280587,73.82223547585522,153.15599934543,0.938,0.9413194963824671
8,20,0.3,4.0,0.02,0.5068540061458144,2.6583521524330833,63.76935875249422,178.86956351415682,0.987,0.9921476204488442
8,20,0.3,4.0,0.05,0.7918105639674713,4.152894702457238,47.9575501058741,244.14256966917094,1.0,0.9999671704174575
8,50,0.3,0.5,0.005,0.2558914659168278,0.18940770865808465,1102.7223577019038,1847.8133684432044,0.17,0.15022671681154232
8,50,0.3,0.5,0.01,0.3604668308553724,0.2668131046689493,993.229650842596,2060.6132931867573,0.225,0.21038693614510473
8,50,0.3,0.5,0.02,0.5068540061458144,0.3751670872816561,857.9748028480076,2406.5723961128174,0.323,0.29246379396549393
8,50,0.3,0.5,0.05,0.7918105639674713,0.5860884186778262,645.2373114940788,3284.7777863301776,0.485,0.4421839014204918
8,50,0.3,1.0,0.005,0.2558914659168278,0.4187497668813201,463.63763880582763,776.909818790891,0.343,0.324600979725848
8,50,0.3,1.0,0.01,0.3604668308553724,0.5898805606834777,417.6016264586188,866.3811657324479,0.465,0.44472927240090243
8,50,0.3,1.0,0.02,0.5068540061458144,0.829433666949287,360.7339680464511,1011.8390504699054,0.634,0.5931409426366372
8,50,0.3,1.0,0.05,0.7918105639674713,1.2957465693026091,271.28887111165767,1381.0789327150392,0.823,0.8049371884959324
8,50,0.3,2.0,0.005,0.2558914659168278,0.9361399673707151,194.93561422425847,326.6503407983366,0.637,0.6507988726733611
8,50,0.3,2.0,0.01,0.3604668308553724,1.3187130179044488,175.57985534658664,364.26840825387484,0.801,0.8127349269752717
8,50,0.3,2.0,0.02,0.5068540061458144,1.854248210564712,151.66995029525432,425.4259151769328,0.931,0.9362963423243489
8,50,0.3,2.0,0.05,0.7918105639674713,2.8967183913715293,114.06291960800993,580.6721618512512,0.995,0.9962291192178314
8,50,0.3,4.0,0.005,0.2558914659168278,2.12204913022568,81.96032960322998,137.3395503093627,0.972,0.9661663874638962
8,50,0.3,4.0,0.01,0.3604668308553724,2.98926860319943,73.82223547585522,153.15599934543,1.0,0.997203538241576
8,50,0.3,4.0,0.02,0.5068540061458144,4.203223812249833,63.76935875249422,178.86956351415682,1.0,0.9999736859827657
8,50,0.3,4.0,0.05,0.7918105639674713,6.566303071306065,47.9575501058741,244.14256966917094,1.0,0.9999999999484201
8,100,0.3,0.5,0.005,0.2558914659168278,0.2678629504022752,1102.7223577019038,1847.8133684432044,0.218,0.21119518686391436
8,100,0.3,0.5,0.01,0.3604668308553724,0.37733071124170026,993.229650842596,2060.6132931867573,0.295,0.2940721481941144
8,100,0.3,0.5,0.02,0.5068540061458144,0.5305663829897287,857.9748028480076,2406.5723961128174,0.427,0.40428070365612045
8,100,0.3,0.5,0.05,0.7918105639674713,0.8288541904439828,645.2373114940788,3284.7777863301776,0.603,0.5928130802607425
8,100,0.3,1.0,0.005,0.2558914659168278,0.5922015995641348,463.63763880582763,776.909818790891,0.466,0.4462844015572698
8,100,0.3,1.0,0.01,0.3604668308553724,0.8342170890988198,417.6016264586188,866.3811657324479,0.6,0.5958413370600852
8,100,0.3,1.0,0.02,0.5068540061458144,1.1729963408885302,360.7339680464511,1011.8390504699054,0.753,0.7592027269438024
8,100,0.3,1.0,0.05,0.7918105639674713,1.8324623717061597,271.28887111165767,1381.0789327150392,0.935,0.9331174371018931
8,100,0.3,2.0,0.005,0.2558914659168278,1.323901838135172,194.93561422425847,326.6503407983366,0.812,0.814464352315218
8,100,0.3,2.0,0.01,0.3604668308553724,1.8649418347984255,175.57985534658664,364.26840825387484,0.943,0.9378104423698412
8,100,0.3,2.0,0.02,0.5068540061458144,2.6223029673866582,151.66995029525432,425.4259151769328,0.995,0.991266224759562
