scenario_id,suite_name,master_seed,scenario_seed,repetitions,lag_count,sample_size,H,zeta,sigma0,a,C_K,C_S
41a7bf95e7d2,transition,2026,72188729616338,1000,5,100,0.3,0.5,1.0,0.5,100.0,1.0
527ff7602c2c,transition,2026,90709564599340,1000,5,100,0.3,1.0,1.0,0.5,100.0,1.0
ac6990f43d4e,transition,2026,189569403469134,1000,5,100,0.3,2.0,1.0,0.5,100.0,1.0
53f3b4f01d23,transition,2026,92306177793315,1000,5,100,0.3,4.0,1.0,0.5,100.0,1.0
309b4278cc11,transition,2026,53443393276945,1000,5,200,0.3,0.5,1.0,0.5,100.0,1.0
cc10700f53ae,transition,2026,224370971595694,1000,5,200,0.3,1.0,1.0,0.5,100.0,1.0
086003f45b36,transition,2026,9208476228406,1000,5,200,0.3,2.0,1.0,0.5,100.0,1.0
eb3dc24852e9,transition,2026,258650485052137,1000,5,200,0.3,4.0,1.0,0.5,100.0,1.0
7374eda228cc,transition,2026,126946040228044,1000,8,10,0.3,0.5,1.0,0.5,100.0,1.0
0d07334113b0,transition,2026,14324575835056,1000,8,10,0.3,1.0,1.0,0.5,100.0,1.0
cfa4bcffa7a4,transition,2026,228306452457380,1000,8,10,0.3,2.0,1.0,0.5,100.0,1.0
6481d2781030,transition,2026,110508744642608,1000,8,10,0.3,4.0,1.0,0.5,100.0,1.0
c69096d07c20,transition,2026,218324307835936,1000,8,20,0.3,0.5,1.0,0.5,100.0,1.0
13afe3bcd5a8,transition,2026,21646161008040,1000,8,20,0.3,1.0,1.0,0.5,100.0,1.0
128b665bbe4a,transition,2026,20389927042634,1000,8,20,0.3,2.0,1.0,0.5,100.0,1.0
c527714e6b65,transition,2026,216773195361125,1000,8,20,0.3,4.0,1.0,0.5,100.0,1.0
94245584f30e,transition,2026,162883774509838,1000,8,50,0.3,0.5,1.0,0.5,100.0,1.0
6242cfea5165,transition,2026,108039095603557,1000,8,50,0.3,1.0,1.0,0.5,100.0,1.0
6872f8333bf1,transition,2026,114842999667697,1000,8,50,0.3,2.0,1.0,0.5,100.0,1.0
328f0f74d715,transition,2026,55590021027605,1000,8,50,0.3,4.0,1.0,0.5,100.0,1.0
7898c7df588a,transition,2026,132597583665290,1000,8,100,0.3,0.5,1.0,0.5,100.0,1.0
b929a1a60226,transition,2026,203588456808998,1000,8,100,0.3,1.0,1.0,0.5,100.0,1.0
781deeac5c33,transition,2026,132069953657907,1000,8,100,0.3,2.0,1.0,0.5,100.0,1.0
2e11db038598,transition,2026,50654223762840,1000,8,100,0.3,4.0,1.0,0.5,100.0,1.0
d86edddcd6be,transition,2026,237970680239806,1000,8,200,0.3,0.5,1.0,0.5,100.0,1.0
2e4efa3bc84a,transition,2026,50916740548682,1000,8,200,0.3,1.0,1.0,0.5,100.0,1.0
f5194992934c,transition,2026,269488957330252,1000,8,200,0.3,2.0,1.0,0.5,100.0,1.0
adb209474f85,transition,2026,190980171452293,1000,8,200,0.3,4.0,1.0,0.5,100.0,1.0
ea5bcdc4cfef,transition,2026,257680015151087,1000,10,10,0.3,0.5,1.0,0.5,100.0,1.0
81df8cdb94b6,transition,2026,142797140890806,1000,10,10,0.3,1.0,1.0,0.5,100.0,1.0
772ee61a4d00,transition,2026,131043312684288,1000,10,10,0.3,2.0,1.0,0.5,100.0,1.0
72ac38495e33,transition,2026,126084004273715,1000,10,10,0.3,4.0,1.0,0.5,100.0,1.0
8a4375c7ea97,transition,2026,152022343477911,1000,10,20,0.3,0.5,1.0,0.5,100.0,1.0
44f89427cbcf,transition,2026,75834428214223,1000,10,20,0.3,1.0,1.0,0.5,100.0,1.0
a89b6911e627,transition,2026,185385436177959,1000,10,20,0.3,2.0,1.0,0.5,100.0,1.0
5ca824594bb8,transition,2026,101877234092984,1000,10,20,0.3,4.0,1.0,0.5,100.0,1.0
