scenario_id,suite_name,master_seed,scenario_seed,repetitions,lag_count,sample_size,H,zeta,sigma0,a,C_K,C_S,delta,radius,identifiability_score,lower,upper,empirical_hit_rate,empirical_hit_rate_se,gaussian_hit_rate
cfd3e66f0576,default,12345,228509011084662,1000,50,5000,0.3,1.0,1.0,0.5,100.0,1.0,0.05,0.7918105639674713,77.62620764618885,271.28887111165767,1381.0789327150392,1.0,0.0,1.0
cfd3e66f0576,default,12345,228509011084662,1000,50,5000,0.3,1.0,1.0,0.5,100.0,1.0,0.1,1.103687976708687,108.20152692495553,198.60278714670392,1968.635161475391,1.0,0.0,1.0
cfd3e66f0576,default,12345,228509011084662,1000,50,5000,0.3,1.0,1.0,0.5,100.0,1.0,0.2,1.5271140852977325,149.71267179205188,130.04501722973532,3262.6745770886323,1.0,0.0,1.0
79b08eff3981,default,12345,133799220296065,1000,50,5000,0.3,2.0,1.0,0.5,100.0,1.0,0.05,0.7918105639674713,179.16386632371638,114.06291960800993,580.6721618512512,1.0,0.0,1.0
79b08eff3981,default,12345,133799220296065,1000,50,5000,0.3,2.0,1.0,0.5,100.0,1.0,0.1,1.103687976708687,249.7327190626515,83.5021858855299,827.7091251135367,1.0,0.0,1.0
79b08eff3981,default,12345,133799220296065,1000,50,5000,0.3,2.0,1.0,0.5,100.0,1.0,0.2,1.5271140852977325,345.54182059458776,54.677194405045974,1371.78567800663,1.0,0.0,1.0
5ef92eb739d5,default,12345,104424323627477,1000,10,500,0.6,0.5,1.0,0.5,100.0,1.0,0.05,0.5695489178350956,6.238545530820103,58.58086077142879,185.0182001502066,1.0,0.0,0.999999999558342
5ef92eb739d5,default,12345,104424323627477,1000,10,500,0.6,0.5,1.0,0.5,100.0,1.0,0.1,0.7991916272891656,8.753933505211629,46.06856354120016,232.78072333470203,1.0,0.0,1.0
5ef92eb739d5,default,12345,104424323627477,1000,10,500,0.6,0.5,1.0,0.5,100.0,1.0,0.2,1.1156633345897344,12.220401605468133,32.893207227840485,319.4397295715983,1.0,0.0,1.0
86fcd97247eb,default,12345,148420538025963,1000,10,500,0.6,1.0,1.0,0.5,100.0,1.0,0.05,0.5695489178350956,14.526167850185134,31.195511888166646,98.52599272709855,1.0,0.0,1.0
86fcd97247eb,default,12345,148420538025963,1000,10,500,0.6,1.0,1.0,0.5,100.0,1.0,0.1,0.7991916272891656,20.383133667591807,24.532456551426986,123.9605175905068,1.0,0.0,1.0
86fcd97247eb,default,12345,148420538025963,1000,10,500,0.6,1.0,1.0,0.5,100.0,1.0,0.2,1.1156633345897344,28.45464604541666,17.516308630556843,170.10821879667108,1.0,0.0,1.0
4bb25833dd0d,default,12345,83229356055821,1000,10,500,0.6,2.0,1.0,0.5,100.0,1.0,0.05,0.5695489178350956,34.74538980805334,16.612250983505156,52.467115316111446,1.0,0.0,1.0
4bb25833dd0d,default,12345,83229356055821,1000,10,500,0.6,2.0,1.0,0.5,100.0,1.0,0.1,0.7991916272891656,48.754766714409605,13.064037126085173,66.01152235106751,1.0,0.0,1.0
