scenario_id,suite_name,master_seed,scenario_seed,repetitions,lag_count,sample_size,H,zeta,sigma0,a,C_K,C_S,tau2,std_log_horizon_theory,std_log_horizon_empirical,std_log_horizon_empirical_se,ks_pvalue,ci95_coverage,ci95_coverage_se
c20cfd99e7e0,default,12345,213361050118112,1000,20,5000,0.9,0.5,1.0,0.5,100.0,1.0,0.03260368290313397,0.002553573296505662,0.002517671339875051,5.632501215986487e-05,0.7382130129708226,0.957,0.006414904519944161
fd660a9baa6b,default,12345,278614706465387,1000,20,5000,0.9,1.0,1.0,0.5,100.0,1.0,0.004449971290805453,0.0009433950700322164,0.0009408493174263434,2.1048557214489067e-05,0.6412404077466136,0.943,0.007331507348424336
bcb900c5b5d6,default,12345,207502767928790,1000,20,5000,0.9,2.0,1.0,0.5,100.0,1.0,0.0004798975101410331,0.00030980558747092766,0.00029448570669452856,6.588195507400466e-06,0.1902783810689006,0.95,0.006892024376045114
ce588a78ddba,default,12345,226879675620794,1000,50,500,0.9,0.5,1.0,0.5,100.0,1.0,0.0007301390037798118,0.0012084196322303042,0.001220090833276822,2.729571168882879e-05,0.07092727664684984,0.951,0.006826346021115546
894c47f75b8e,default,12345,150960717912974,1000,50,500,0.9,1.0,1.0,0.5,100.0,1.0,5.7285206583680085e-05,0.00033848251530523726,0.0003389847126865777,7.5837214181527636e-06,0.0767073442651941,0.939,0.007568289106528638
3111d32f4800,default,12345,53952627296256,1000,50,500,0.9,2.0,1.0,0.5,100.0,1.0,6.3755330529029424e-06,0.00011292061860353886,0.00011288953138015164,2.525549751868746e-06,0.0641263796830771,0.944,0.007270763371201131
726902dbc970,default,12345,125795345090928,1000,50,1000,0.9,0.5,1.0,0.5,100.0,1.0,0.0007301390037798118,0.0008544817164690019,0.0008558313908480925,1.9146547340331254e-05,0.3319064922125564,0.953,0.00669260786241059
2d55dece6997,default,12345,49846833539479,1000,50,1000,0.9,1.0,1.0,0.5,100.0,1.0,5.7285206583680085e-05,0.00023934328188541262,0.0002309380741526701,5.1665162282343295e-06,0.5586021134804107,0.953,0.00669260786241059
4f22a13d0b7e,default,12345,87010152614782,1000,50,1000,0.9,2.0,1.0,0.5,100.0,1.0,6.3755330529029424e-06,7.984693515034214e-05,7.82643323962578e-05,1.7509193531677183e-06,0.9099767009476853,0.946,0.0071473071852271785
2e74471ec6b4,default,12345,51076944283316,1000,50,5000,0.9,0.5,1.0,0.5,100.0,1.0,0.0007301390037798118,0.000382135840711078,0.0003788696196650806,8.476021312495107e-06,0.6824852492493061,0.94,0.007509993342207438
8cb15cd9e44e,default,12345,154693394883662,1000,50,5000,0.9,1.0,1.0,0.5,100.0,1.0,5.7285206583680085e-05,0.00010703756965073533,0.00010775687566068164,2.4107226530203732e-06,0.1467476437532902,0.954,0.006624499981130654
243b38937e5e,default,12345,39836770860638,1000,50,5000,0.9,2.0,1.0,0.5,100.0,1.0,6.3755330529029424e-06,3.570863495823648e-05,3.517652526314918e-05,7.869645977250558e-07,0.1285281587640118,0.957,0.006414904519944161
