truth_h,lambda_0,lambda_1,policy,mean_cumulative_validity_loss,mean_cumulative_update_cost,mean_total_cost,mean_regret,mean_lead_time,mean_log_memory_std,mean_tau_valid,mean_tau_detect,mean_delay_gap,mean_masking_index,schedule_mode
0.5,4.0,4.0,deploy_only,443.83581915723266,161.36475849674642,605.200577653979,44.37500807080787,0.0,0.4263173703681857,70.0,70.0,0.0,0.01697130253140383,default
0.5,4.0,4.0,detector_only,372.0107597368503,72.18074534099789,444.19150507784815,-27.450051349574533,54.666666666666664,0.8500553403329314,70.0,15.333333333333334,-54.666666666666664,0.09841108997698916,default
0.9,0.0,0.0,oracle,317.81836891972677,0.0,317.81836891972677,0.0,50.0,0.4441104856480022,70.0,20.0,-50.0,0.0,default
0.9,0.0,0.0,controller,340.1567508082942,0.0,340.1567508082942,22.338381888567426,-20.0,0.32839250407744397,0.0,20.0,20.0,0.05823749286832206,default
0.9,0.0,0.0,fixed_policy,1026.1726118025604,0.0,1026.1726118025604,708.3542428828337,-70.0,8.881784197001252e-16,0.0,70.0,70.0,0.19104017860188938,default
0.9,0.0,0.0,deploy_only,342.7616964993376,0.0,342.7616964993376,24.94332757961081,-70.0,0.304774039618642,0.0,70.0,70.0,0.02466607437344359,default
0.9,0.0,0.0,detector_only,545.3583744314888,0.0,545.3583744314888,227.54000551176196,-20.0,1.0689471563969275,0.0,20.0,20.0,0.5932103549107638,default
0.9,0.0,2.0,oracle,338.850302579784,21.031933660057238,359.88223623984123,0.0,50.0,0.4441104856480022,70.0,20.0,-50.0,0.0,default
0.9,0.0,2.0,controller,351.16465916692556,11.007908358631383,362.17256752555693,12.31435658714158,-20.0,0.32839250407744397,0.0,20.0,20.0,0.05823749286832206,default
0.9,0.0,2.0,fixed_policy,1026.1726118025604,0.0,1026.1726118025604,687.3223092227763,-70.0,8.881784197001252e-16,0.0,70.0,70.0,0.19104017860188938,default
0.9,0.0,2.0,deploy_only,352.99202174365655,10.230325244318934,363.22234698797547,14.141719163872514,-70.0,0.304774039618642,0.0,70.0,70.0,0.02466607437344359,default
0.9,0.0,2.0,detector_only,553.981214207876,8.622839776387229,562.6040539842631,215.13091162809192,-20.0,1.0689471563969275,0.0,20.0,20.0,0.5932103549107638,default
0.9,0.0,4.0,oracle,359.88223623984123,42.063867320114475,401.9461035599557,0.0,50.0,0.4441104856480022,70.0,20.0,-50.0,0.0,default
0.9,0.0,4.0,controller,362.172567525557,22.015816717262766,384.1883842428198,2.2903312857157325,-20.0,0.32839250407744397,0.0,20.0,20.0,0.05823749286832206,default
0.9,0.0,4.0,fixed_policy,1026.1726118025604,0.0,1026.1726118025604,666.2903755627192,-70.0,8.881784197001252e-16,0.0,70.0,70.0,0.19104017860188938,default
0.9,0.0,4.0,deploy_only,363.22234698797547,20.460650488637867,383.6829974766133,3.3401107481342174,-70.0,0.304774039618642,0.0,70.0,70.0,0.02466607437344359,default
0.9,0.0,4.0,detector_only,562.6040539842633,17.245679552774458,579.8497335370378,202.72181774442197,-20.0,1.0689471563969275,0.0,20.0,20.0,0.5932103549107638,default
0.9,2.0,0.0,oracle,331.81836891972677,14.0,345.81836891972677,0.0,50.0,0.4441104856480022,70.0,20.0,-50.0,0.0,default
0.9,2.0,0.0,controller,416.8234174749609,76.66666666666667,493.49008414162756,85.0050485552341,-20.0,0.32839250407744397,0.0,20.0,20.0,0.05823749286832206,default
0.9,2.0,0.0,fixed_policy,1026.1726118025604,0.0,1026.1726118025604,694.3542428828337,-70.0,8.881784197001252e-16,0.0,70.0,70.0,0.19104017860188938,default
0.9,2.0,0.0,deploy_only,425.4283631660042,82.66666666666667,508.0950298326709,93.60999424627748,-70.0,0.304774039618642,0.0,70.0,70.0,0.02466607437344359,default
0.9,2.0,0.0,detector_only,586.0250410981554,40.666666666666664,626.691707764822,254.20667217842865,-20.0,1.0689471563969275,0.0,20.0,20.0,0.5932103549107638,default
0.9,2.0,2.0,oracle,352.850302579784,35.031933660057234,387.88223623984123,0.0,50.0,0.4441104856480022,70.0,20.0,-50.0,0.0,default
0.9,2.0,2.0,controller,427.8313258335923,87.67457502529805,515.5059008588903,74.98102325380826,-20.0,0.32839250407744397,0.0,20.0,20.0,0.05823749286832206,default
0.9,2.0,2.0,fixed_policy,1026.1726118025604,0.0,1026.1726118025604,673.3223092227763,-70.0,8.881784197001252e-16,0.0,70.0,70.0,0.19104017860188938,default
0.9,2.0,2.0,deploy_only,435.65868841032324,92.8969919109856,528.5556803213088,82.80838583053918,-70.0,0.304774039618642,0.0,70.0,70.0,0.02466607437344359,default
0.9,2.0,2.0,detector_only,594.6478808745426,49.2895064430539,643.9373873175965,241.7975782947586,-20.0,1.0689471563969275,0.0,20.0,20.0,0.5932103549107638,default
0.9,2.0,4.0,oracle,373.88223623984123,56.063867320114475,429.9461035599557,0.0,50.0,0.4441104856480022,70.0,20.0,-50.0,0.0,default
0.9,2.0,4.0,controller,438.8392341922236,98.68248338392944,537.521717576153,64.9569979523824,-20.0,0.32839250407744397,0.0,20.0,20.0,0.05823749286832206,default
0.9,2.0,4.0,fixed_policy,1026.1726118025604,0.0,1026.1726118025604,652.2903755627192,-70.0,8.881784197001252e-16,0.0,70.0,70.0,0.19104017860188938,default
0.9,2.0,4.0,deploy_only,445.88901365464216,103.12731715530454,549.0163308099467,72.00677741480088,-70.0,0.304774039618642,0.0,70.0,70.0,0.02466607437344359,default
0.9,2.0,4.0,detector_only,603.2707206509299,57.91234621944113,661.183066870371,229.38848441108863,-20.0,1.0689471563969275,0.0,20.0,20.0,0.5932103549107638,default
