ambient_dim,intrinsic_dim,sample_size,epsilon,coupling,mean_spectral_radius,max_spectral_radius,mean_inverse_norm,max_inverse_norm,min_spectral_gap
12,2,384,0.4,xy,0.61065896,0.62879389,2.57030586,2.69392114,0.37120611
12,2,384,0.4,xx,0.62128094,0.64341134,2.64393337,2.80435169,0.35658866
12,2,384,0.4,yy,0.61605068,0.66639028,2.61320802,2.9975146,0.33360972
12,2,384,0.5,xy,0.53631795,0.55532653,2.15782845,2.24884113,0.44467347
12,2,384,0.5,xx,0.54697115,0.57094343,2.20969568,2.33069501,0.42905657
12,2,384,0.5,yy,0.54135617,0.5951687,2.18598257,2.47016475,0.4048313
12,2,384,0.65,xy,0.44096464,0.45968949,1.7894319,1.85078762,0.54031051
12,2,384,0.65,xx,0.45122213,0.47684601,1.82362913,1.91148308,0.52315399
12,2,384,0.65,yy,0.44549021,0.50055539,1.80656539,2.00222404,0.49944461
12,2,384,0.8,xy,0.36342976,0.38075321,1.57128697,1.61486505,0.61924679
12,2,384,0.8,xx,0.37298511,0.3987573,1.59574841,1.66322186,0.6012427
12,2,384,0.8,yy,0.3674603,0.42069671,1.58283304,1.7262115,0.57930329
12,2,512,0.2,xy,0.78732891,0.80447837,4.71039086,5.11452374,0.19552163
12,2,512,0.2,xx,0.79484529,0.81982063,4.88596797,5.55002484,0.18017937
12,2,512,0.2,yy,0.79093207,0.81213852,4.79719084,5.32307094,0.18786148
12,2,512,0.3,xy,0.69550443,0.71768246,3.28883909,3.54211081,0.28231754
12,2,512,0.3,xx,0.7036601,0.73770894,3.38156815,3.81255842,0.26229106
12,2,512,0.3,yy,0.69859283,0.72601927,3.32585562,3.64989173,0.27398073
12,2,512,0.4,xy,0.61261319,0.63816028,2.58436933,2.76365457,0.36183972
12,2,512,0.4,xx,0.62124989,0.66164644,2.64493581,2.9554883,0.33835356
