ambient_dim,intrinsic_dim,sample_size,epsilon,coupling,mean_spectral_radius,max_spectral_radius,mean_operator_norm,max_operator_norm,mean_inverse_norm,max_inverse_norm,min_spectral_gap
12,1,32,0.1,xy,0.86728295,0.9183674,0.86728295,0.9183674,7.86155273,12.25000855,0.0816326
12,1,32,0.1,xx,0.88799173,0.93324094,0.88799173,0.93324094,9.70102034,14.9792392,0.06675906
12,1,32,0.1,yy,0.90280476,0.96180782,0.90280476,0.96180782,11.72298735,26.18336964,0.03819218
12,1,32,0.2,xy,0.75436665,0.83819361,0.75436665,0.83819361,4.19684371,6.18022563,0.16180639
12,1,32,0.2,xx,0.7725698,0.85661006,0.7725698,0.85661006,4.63801898,6.97398975,0.14338994
12,1,32,0.2,yy,0.80016686,0.89994419,0.80016686,0.89994419,5.36140775,9.9944222,0.10005581
12,1,32,0.4,xy,0.57053929,0.68667577,0.57053929,0.68667577,2.3689069,3.19158211,0.31332423
12,1,32,0.4,xx,0.58115203,0.70255523,0.58115203,0.70255523,2.45899138,3.36196871,0.29744477
12,1,32,0.4,yy,0.61771468,0.76741464,0.61771468,0.76741464,2.70846449,4.29949674,0.23258536
12,1,32,0.8,xy,0.32813583,0.43751395,0.32813583,0.43751395,1.49675446,1.77782187,0.56248605
12,1,32,0.8,xx,0.32898666,0.43882673,0.32898666,0.43882673,1.50468706,1.78198082,0.56117327
12,1,32,0.8,yy,0.36172444,0.50905308,0.36172444,0.50905308,1.58399883,2.03688006,0.49094692
12,1,64,0.05,xy,0.94067274,0.95162432,0.94067274,0.95162432,17.10272875,20.6715438,0.04837568
12,1,64,0.05,xx,0.94767601,0.95786939,0.94767601,0.95786939,19.57497258,23.73571099,0.04213061
12,1,64,0.05,yy,0.94498643,0.9625507,0.94498643,0.9625507,19.35049942,26.70276637,0.0374493
12,1,64,0.1,xy,0.88473943,0.90553725,0.88473943,0.90553725,8.78111362,10.5861839,0.09446275
12,1,64,0.1,xx,0.89364018,0.9149936,0.89364018,0.9149936,9.62847472,11.76382034,0.0850064
12,1,64,0.1,yy,0.88891026,0.92265539,0.88891026,0.92265539,9.47383054,12.92914848,0.07734461
12,1,64,0.2,xy,0.78025692,0.8185149,0.78025692,0.8185149,4.59459417,5.51009419,0.1814851
12,1,64,0.2,xx,0.79119777,0.83252279,0.79119777,0.83252279,4.8912375,5.97096159,0.16747721
12,1,64,0.2,yy,0.78280004,0.84762335,0.78280004,0.84762335,4.78908664,6.5626852,0.15237665
12,1,64,0.4,xy,0.60015137,0.65866685,0.60015137,0.65866685,2.5162979,2.92968907,0.34133315
