scenario,seed,n_star_true,n_hat_ucurve,n_hat_param,abs_err_ucurve,abs_err_param,rel_err_ucurve,rel_err_param,coverage_ucurve,coverage_param
sinusoidal,71,12.0,5.0,9.594564260139048,7.0,2.405435739860952,0.5833333333333334,0.200452978321746,1.0,1.0
sinusoidal,72,12.0,5.0,9.758322040957406,7.0,2.241677959042594,0.5833333333333334,0.18680649658688284,1.0,1.0
sinusoidal,73,12.0,5.0,9.8671016177273,7.0,2.1328983822726997,0.5833333333333334,0.17774153185605832,1.0,1.0
sinusoidal,74,12.0,5.0,9.461534137580946,7.0,2.538465862419054,0.5833333333333334,0.21153882186825448,1.0,1.0
sinusoidal,75,12.0,5.0,9.437122336581387,7.0,2.562877663418613,0.5833333333333334,0.21357313861821772,1.0,1.0
sinusoidal,76,12.0,5.0,9.31558079349298,7.0,2.6844192065070196,0.5833333333333334,0.22370160054225163,1.0,1.0
sinusoidal,77,12.0,5.0,9.705991018364974,7.0,2.2940089816350255,0.5833333333333334,0.19116741513625213,1.0,1.0
sinusoidal,78,12.0,5.0,9.216567358900216,7.0,2.7834326410997843,0.5833333333333334,0.2319527200916487,1.0,1.0
sinusoidal,79,12.0,5.0,9.629408880748317,7.0,2.3705911192516833,0.5833333333333334,0.19754925993764028,1.0,1.0
sinusoidal,80,12.0,5.0,9.6634981915111,7.0,2.336501808488901,0.5833333333333334,0.19470848404074173,1.0,1.0
sinusoidal,81,12.0,5.0,9.206521219200974,7.0,2.793478780799026,0.5833333333333334,0.23278989839991882,1.0,1.0
sinusoidal,82,12.0,12.0,9.711935741565684,0.0,2.288064258434316,0.0,0.190672021536193,1.0,1.0
sinusoidal,83,12.0,5.0,9.668523717924609,7.0,2.331476282075391,0.5833333333333334,0.19428969017294925,1.0,1.0
sinusoidal,84,12.0,5.0,9.94021377818605,7.0,2.0597862218139493,0.5833333333333334,0.1716488518178291,1.0,1.0
sinusoidal,85,12.0,5.0,9.832610513228692,7.0,2.1673894867713077,0.5833333333333334,0.18061579056427565,1.0,1.0
sinusoidal,86,12.0,5.0,9.60177029386209,7.0,2.3982297061379096,0.5833333333333334,0.19985247551149246,1.0,1.0
sinusoidal,87,12.0,5.0,9.499982192552825,7.0,2.5000178074471755,0.5833333333333334,0.20833481728726463,1.0,1.0
sinusoidal,88,12.0,5.0,9.661483623537691,7.0,2.3385163764623087,0.5833333333333334,0.1948763647051924,1.0,1.0
sinusoidal,89,12.0,5.0,9.45094560123035,7.0,2.54905439876965,0.5833333333333334,0.21242119989747085,1.0,1.0
sinusoidal,90,12.0,5.0,9.195360768439485,7.0,2.8046392315605146,0.5833333333333334,0.23371993596337623,1.0,1.0
sinusoidal,91,12.0,5.0,9.556169372037655,7.0,2.4438306279623454,0.5833333333333334,0.20365255233019544,1.0,1.0
sinusoidal,92,12.0,5.0,10.059796855854216,7.0,1.9402031441457837,0.5833333333333334,0.16168359534548196,1.0,1.0
sinusoidal,93,12.0,5.0,9.314054780127274,7.0,2.6859452198727265,0.5833333333333334,0.22382876832272722,1.0,1.0
sinusoidal,94,12.0,16.0,9.775822519019126,4.0,2.224177480980874,0.3333333333333333,0.1853481234150728,1.0,1.0
sinusoidal,95,12.0,5.0,9.40941300079842,7.0,2.59058699920158,0.5833333333333334,0.21588224993346503,1.0,1.0
sinusoidal,96,12.0,5.0,9.593769468227991,7.0,2.4062305317720085,0.5833333333333334,0.2005192109810007,1.0,1.0
sinusoidal,97,12.0,5.0,9.899340972095413,7.0,2.1006590279045874,0.5833333333333334,0.17505491899204895,1.0,1.0
sinusoidal,98,12.0,5.0,9.430760220447977,7.0,2.5692397795520225,0.5833333333333334,0.21410331496266855,1.0,1.0
sinusoidal,99,12.0,5.0,9.521795433051333,7.0,2.4782045669486674,0.5833333333333334,0.20651704724572228,1.0,1.0
